KO_EC_NUMBER	Silhouette_Index
K01826-[EC:5.3.3.10]	0.08
K00108-[EC:1.1.99.1]	0.03
K14048-[EC:3.5.1.5]	0.07
K01704-[EC:4.2.1.35]	0.02
K01500-[EC:3.5.4.9]	0.08
K18446-[EC:3.6.1.25]	0.29
K13541-[EC:2.1.1.131]	0.2
K01779-[EC:5.1.1.13]	-0.0
K09121-[EC:4.99.1.12]	-0.05
K00106-[EC:1.17.1.4]	0.26
K07568-[EC:2.4.99.17]	0.06
K16190-[EC:2.7.1.43]	0.16
K21816-[EC:1.8.98.3]	-0.02
K07144-[EC:2.7.4.31]	0.17
K20370-[EC:4.1.1.38]	0.03
K13935-[EC:2.3.1.39]	0.08
K19312-[EC:6.4.1.2]	0.12
K03342-[EC:2.6.1.85]	-0.0
K07566-[EC:2.7.7.87]	0.03
K13018-[EC:2.3.1.201]	0.04
K15371-[EC:1.4.1.2]	-0.02
K05847-[EC:7.6.2.9]	-0.01
K09988-[EC:5.3.1.15]	0.01
K03100-[EC:3.4.21.89]	0.0
K07681-[EC:2.7.13.3]	0.77
K01788-[EC:5.1.3.9]	0.04
K01949-[EC:6.3.4.12]	-0.25
K14155-[EC:4.4.1.13]	0.01
K05895-[EC:1.3.1.54]	0.06
K22316-[EC:3.1.3.73]	0.1
K18770-[EC:2.4.1.129]	0.35
K00681-[EC:2.3.2.2]	0.02
K22476-[EC:2.3.1.1]	0.08
K03651-[EC:3.1.4.53]	0.03
K02229-[EC:1.14.13.83]	0.12
K18704-[EC:2.7.8.14]	0.1
K03365-[EC:3.5.4.21]	0.08
K01444-[EC:3.5.1.26]	0.05
K00496-[EC:1.14.15.3]	0.15
K02435-[EC:6.3.5.7]	0.03
K00689-[EC:2.4.1.5]	-0.0
K01951-[EC:6.3.5.2]	0.05
K01278-[EC:3.4.14.5]	-0.02
K07806-[EC:2.6.1.87]	-0.12
K00031-[EC:1.1.1.42]	0.02
K02552-[EC:5.4.4.2]	0.04
K13713-[EC:6.3.4.13]	-0.5
K00709-[EC:2.4.1.37]	0.01
K01460-[EC:3.5.1.78]	-0.12
K11335-[EC:1.3.7.14]	-0.21
K03795-[EC:4.99.1.3]	0.09
K20423-[EC:6.2.1.43]	0.08
K01910-[EC:6.2.1.22]	0.18
K21575-[EC:3.2.1.135]	-0.01
K14469-[EC:4.2.1.116]	0.39
K00210-[EC:1.3.1.12]	0.01
K06998-[EC:5.3.3.17]	-0.01
K00979-[EC:2.7.7.38]	0.11
K18917-[EC:1.20.4.3]	0.09
K00200-[EC:1.2.7.12]	0.05
K04118-[EC:1.3.1.62]	0.03
K00202-[EC:1.2.7.12]	0.05
K10017-[EC:7.4.2.1]	0.01
K06932-[EC:6.3.4.22]	0.09
K15524-[EC:3.2.1.170]	0.12
K13381-[EC:3.2.1.17]	0.4
K01960-[EC:6.4.1.1]	0.06
K06163-[EC:4.7.1.1]	0.18
K01429-[EC:3.5.1.5]	0.11
K03045-[EC:2.7.7.6]	0.05
K13497-[EC:2.4.2.18]	0.19
K07757-[EC:3.1.3.23]	-0.14
K11334-[EC:1.3.7.14]	-0.22
K00248-[EC:1.3.8.1]	0.02
K22708-[EC:2.4.1.355]	0.41
K15449-[EC:4.1.3.44]	0.06
K17950-[EC:4.4.1.25]	0.05
K03500-[EC:2.1.1.176]	-0.01
K22249-[EC:3.1.1.76]	-0.06
K03638-[EC:2.7.7.75]	0.13
K10218-[EC:4.1.3.17]	0.04
K01966-[EC:6.4.1.3]	0.02
